 Justin Simmons
 De'Vondre Campbell
 Emmanuel Ogbah
 Maliek Collins
 Temarrick Hemingway
 D.J. White
 Miles Killebrew
 Mehdi Abdesmad
 Deion Jones
 T.J. Green
 Branden Jackson
 Cory Littleton
 Keanu Neal
 Christian Ringo
 P.J. Williams
 Roberto Aguayo
 Blake Countess
 Kalif Raymond
 Scooby Wright
 Yannick Ngakoue
 Javon Hargrave
 Cre'von LeBlanc
 Briean Boddy-Calhoun
 Sean Davis
 Adairius Barnes
 Lawrence Thomas
 Javien Elliott
 Darryl Roberts
 K.J. Dillon
 Brennan Scarlett
