playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Stevan Ridley,7792,2014,patriots,"$777,750",-,-,-,-,-,-,"$777,750"
Stevan Ridley,7792,2015,jets,"$750,000","$80,000","$151,250","$50,000",-,-,"$14,853","$1,046,103"
Stevan Ridley,7792,2016,lions,"$200,000","$50,000",-,"$30,000",-,-,-,"$280,000"
Stevan Ridley,7792,2016,falcons,"$178,823",-,-,-,-,-,-,"$178,823"
Stevan Ridley,7792,2017,vikings,"$45,588",-,-,-,-,-,-,"$45,588"
Ryan Griffin,12575,2013,neworleans,-,"$15,000",-,-,-,-,-,"$15,000"
Ryan Griffin,12575,2013,neworleans,"$238,235",-,-,-,-,-,-,"$238,235"
Ryan Griffin,12575,2013,neworleans,"$42,000",-,-,-,-,-,-,"$42,000"
Ryan Griffin,12575,2014,neworleans,"$107,100",-,-,-,-,-,-,"$107,100"
Ryan Griffin,12575,2015,bucs,"$510,000",-,-,-,-,-,-,"$510,000"
Ryan Griffin,12575,2016,bucs,"$600,000",-,-,-,-,-,-,"$600,000"
Ryan Griffin,12575,2017,bucs,"$1,150,000",-,-,-,-,-,-,"$1,150,000"
Ryan Griffin,12575,2018,bucs,"$1,100,000",-,-,-,-,-,-,"$1,100,000"
Brandon Allen,19155,2016,jaguars,"$450,000","$124,274",-,-,-,-,-,"$574,274"
Brandon Allen,19155,2017,rams2,"$540,000",-,-,-,-,-,-,"$540,000"
Brandon Allen,19155,2018,rams2,"$630,000",-,-,-,-,-,-,"$630,000"
Brandon Allen,19155,2019,rams2,"$720,000",-,-,-,-,-,-,"$720,000"
Tyler Marz,19612,2016,tennessee,"$117,300",-,-,-,-,-,-,"$117,300"
Tyler Marz,19612,2017,NFL_Chargers_logo.svg_,"$410,295",-,-,-,-,-,-,"$410,295"
Tyler Marz,19612,2017,tennessee,"$14,400",-,-,-,-,-,-,"$14,400"
Tyler Marz,19612,2018,NFL_Chargers_logo.svg_,"$555,000",-,-,-,-,-,-,"$555,000"
Trai Turner,14503,2014,panthers,"$420,000","$539,800",-,-,-,-,-,"$959,800"
Trai Turner,14503,2015,panthers,"$510,000",-,-,-,-,-,"$254,280","$764,280"
Trai Turner,14503,2016,panthers,"$605,670",-,-,"$13,000",-,-,-,"$618,670"
Trai Turner,14503,2017,panthers,"$797,000","$15,000,000",-,-,-,-,-,"$15,797,000"
Trai Turner,14503,2018,panthers,"$4,703,000",-,-,-,-,-,-,"$4,703,000"
Trai Turner,14503,2019,panthers,"$5,297,000",-,"$500,000",-,-,-,-,"$5,797,000"
Trai Turner,14503,2020,panthers,"$8,500,000",-,"$500,000",-,-,-,-,"$9,000,000"
Trai Turner,14503,2021,panthers,"$11,000,000",-,"$500,000",-,-,-,-,"$11,500,000"
Vincent Taylor,21936,2017,dolphins,"$465,000","$154,413",-,-,-,-,-,"$619,413"
Vincent Taylor,21936,2018,dolphins,"$555,000",-,-,-,-,-,-,"$555,000"
Vincent Taylor,21936,2019,dolphins,"$645,000",-,-,-,-,-,-,"$645,000"
Vincent Taylor,21936,2020,dolphins,"$735,000",-,-,-,-,-,-,"$735,000"
